temperature,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,vcc,uptime,time
18.430138,-0.16021729,-0.09155273,-0.03814697,-0.00012207,-0.02026367,1.02160645,49.03472137,352.59082031,333.98901367,2,34502575,1487057267
18.430138,-0.04577637,0.03051758,0.01525879,0.00036621,-0.02087402,1.01953125,49.03472137,352.59082031,333.98901367,2,34502607,1487057267
18.445114,-0.03051758,-0.01525879,0.08392334,-0.00097656,-0.02087402,1.01867676,49.03472137,352.59082031,333.98901367,2,34502637,1487057267
18.424147,-0.09918213,-0.00762939,-0.02288818,0.00000000,-0.02093506,1.02514648,56.03968430,352.59082031,344.10989380,2,34502666,1487057267
18.442118,0.00000000,-0.09918213,0.05340576,-0.00036621,-0.02154541,1.02374268,56.03968430,352.59082031,344.10989380,2,34502695,1487057267
18.418158,0.01525879,0.01525879,0.03814697,0.00128174,-0.02050781,1.02227783,56.03968430,352.59082031,344.10989380,2,34502722,1487057267
18.418158,-0.06866455,-0.06866455,0.03814697,-0.00042725,-0.01953125,1.01953125,56.03968430,352.59082031,344.10989380,2,34502753,1487057267
18.427143,-0.07629395,-0.05340576,-0.07629395,-0.00024414,-0.02185059,1.02166748,61.29340363,347.30194092,349.17031860,2,34502782,1487057267
18.439123,-0.08392334,0.03051758,-0.03814697,0.00006104,-0.02288818,1.02069092,61.29340363,347.30194092,349.17031860,2,34502811,1487057267
18.421152,-0.08392334,-0.02288818,-0.04577637,0.00097656,-0.02270508,1.02008057,61.29340363,347.30194092,349.17031860,2,34502840,1487057267
18.421152,-0.06103516,-0.02288818,-0.02288818,-0.00067139,-0.02056885,1.01910400,61.29340363,347.30194092,349.17031860,2,34502874,1487057267
18.439123,-0.06103516,-0.06866455,0.01525879,-0.00201416,-0.01940918,1.02038574,61.29340363,347.30194092,349.17031860,2,34502903,1487057267
18.436129,-0.12207031,-0.03051758,-0.06866455,-0.00122070,-0.02227783,1.02227783,63.04464340,380.79806519,347.48352051,2,34502973,1487057267
18.442118,0.00000000,-0.05340576,0.05340576,0.00091553,-0.02130127,1.02337646,52.53720474,345.53900146,354.23077393,2,34503041,1487057268
18.433132,0.01525879,-0.07629395,0.01525879,-0.00244141,-0.01898193,1.02301025,52.53720474,345.53900146,354.23077393,2,34503071,1487057268
18.433132,0.03814697,-0.00762939,0.06866455,0.00000000,-0.02093506,1.01818848,52.53720474,345.53900146,354.23077393,2,34503106,1487057268
18.439123,-0.03051758,0.00762939,-0.09155273,-0.00134277,-0.02154541,1.02160645,52.53720474,345.53900146,354.23077393,2,34503135,1487057268
18.445114,-0.05340576,-0.06103516,0.03814697,-0.00097656,-0.02197266,1.02276611,63.04464340,352.59082031,347.48352051,2,34503167,1487057268
18.439123,-0.06103516,0.00762939,-0.02288818,0.00048828,-0.02203369,1.02062988,63.04464340,352.59082031,347.48352051,2,34503197,1487057268
18.445114,-0.11444092,-0.02288818,0.03051758,-0.00201416,-0.02148438,1.01782227,63.04464340,352.59082031,347.48352051,2,34503226,1487057268
18.415161,-0.16021729,-0.01525879,0.02288818,-0.00128174,-0.02130127,1.02239990,63.04464340,352.59082031,347.48352051,2,34503256,1487057268
18.439123,-0.06103516,0.00762939,0.00762939,0.00048828,-0.02404785,1.02166748,57.79092407,340.25012207,335.67581177,2,34503286,1487057268
18.445114,-0.06866455,-0.06866455,0.03814697,-0.00201416,-0.02215576,1.02075195,57.79092407,340.25012207,335.67581177,2,34503316,1487057268
18.427143,-0.02288818,-0.05340576,0.01525879,-0.00097656,-0.02056885,1.02020264,57.79092407,340.25012207,335.67581177,2,34503345,1487057268
18.445114,-0.12969971,-0.06103516,-0.07629395,-0.00097656,-0.02142334,1.02020264,57.79092407,340.25012207,335.67581177,2,34503378,1487057268
18.430138,-0.02288818,-0.03051758,-0.06866455,-0.00164795,-0.02252197,1.02301025,61.29340363,357.87966919,345.79669189,2,34503410,1487057268
18.439123,-0.03051758,0.03051758,-0.07629395,0.00018311,-0.02056885,1.02069092,61.29340363,357.87966919,345.79669189,2,34503442,1487057268
18.430138,-0.01525879,-0.12969971,0.00000000,-0.00091553,-0.02258301,1.01879883,61.29340363,357.87966919,345.79669189,2,34503480,1487057268
18.436129,-0.12207031,-0.01525879,-0.02288818,0.00006104,-0.02020264,1.02148438,61.29340363,357.87966919,345.79669189,2,34503511,1487057268
18.442118,-0.09155273,-0.06866455,0.00000000,0.00061035,-0.02008057,1.02288818,63.04464340,363.16854858,347.48352051,2,34503540,1487057268
18.454100,-0.07629395,0.00000000,0.07629395,-0.00183105,-0.02282715,1.02197266,63.04464340,363.16854858,347.48352051,2,34503571,1487057268
18.418158,-0.10681152,-0.01525879,0.06103516,-0.00170898,-0.01995850,1.02209473,63.04464340,363.16854858,347.48352051,2,34503602,1487057268
18.442118,-0.03051758,-0.08392334,0.02288818,-0.00134277,-0.01977539,1.02160645,63.04464340,363.16854858,347.48352051,2,34503631,1487057268
18.433132,-0.07629395,-0.03051758,-0.08392334,-0.00048828,-0.02087402,1.02227783,59.54216385,363.16854858,350.85714722,2,34503660,1487057268
18.463085,-0.09918213,-0.03814697,-0.00762939,-0.00103760,-0.02130127,1.02178955,59.54216385,363.16854858,350.85714722,2,34503690,1487057268
18.436129,0.03814697,-0.02288818,-0.03814697,0.00042725,-0.02081299,1.02258301,59.54216385,363.16854858,350.85714722,2,34503719,1487057268
18.436129,0.02288818,-0.02288818,0.00000000,-0.00170898,-0.02185059,1.02331543,59.54216385,363.16854858,350.85714722,2,34503749,1487057268
18.418158,-0.10681152,0.01525879,-0.06103516,-0.00097656,-0.02111816,1.02209473,49.03472137,352.59082031,350.85714722,2,34503782,1487057268
18.433132,-0.03814697,0.00000000,0.03051758,-0.00024414,-0.02111816,1.02331543,49.03472137,352.59082031,350.85714722,2,34503812,1487057268
18.439123,-0.03051758,-0.03814697,-0.05340576,0.00006104,-0.02221680,1.02349854,49.03472137,352.59082031,350.85714722,2,34503841,1487057268
18.427143,-0.06866455,0.07629395,-0.09918213,-0.00054932,-0.02197266,1.01940918,49.03472137,352.59082031,350.85714722,2,34503870,1487057268
18.436129,0.01525879,-0.04577637,0.05340576,-0.00256348,-0.01959229,1.02233887,49.03472137,352.59082031,350.85714722,2,34503899,1487057268
18.451103,0.00000000,0.02288818,-0.03051758,0.00164795,-0.01959229,1.02117920,56.03968430,363.16854858,340.73626709,2,34503928,1487057268
18.427143,-0.06103516,-0.03814697,0.06103516,-0.00299072,-0.02172852,1.02374268,56.03968430,363.16854858,340.73626709,2,34503958,1487057268
18.436129,0.01525879,0.03051758,-0.05340576,-0.00140381,-0.02246094,1.02331543,56.03968430,363.16854858,340.73626709,2,34503992,1487057268
18.433132,0.00762939,-0.06866455,0.00762939,-0.00207520,-0.02233887,1.01812744,56.03968430,363.16854858,340.73626709,2,34504023,1487057269
18.433132,-0.09155273,0.00000000,0.00000000,-0.00146484,-0.02191162,1.02008057,56.03968430,349.06491089,347.48352051,2,34504052,1487057269
18.445114,-0.07629395,-0.09155273,0.04577637,-0.00189209,-0.01910400,1.02227783,56.03968430,349.06491089,347.48352051,2,34504083,1487057269
18.433132,-0.02288818,0.00000000,-0.05340576,0.00042725,-0.02233887,1.02160645,56.03968430,349.06491089,347.48352051,2,34504112,1487057269
18.439123,-0.09155273,-0.01525879,-0.04577637,-0.00134277,-0.02166748,1.01696777,56.03968430,349.06491089,347.48352051,2,34504145,1487057269
18.430138,-0.12969971,0.04577637,-0.02288818,-0.00018311,-0.02008057,1.02270508,54.28844452,350.82785034,349.17031860,2,34504174,1487057269
18.436129,-0.09155273,0.03814697,-0.02288818,-0.00207520,-0.02233887,1.01684570,54.28844452,350.82785034,349.17031860,2,34504205,1487057269
18.436129,-0.10681152,-0.00762939,0.00000000,-0.00103760,-0.01831055,1.02166748,54.28844452,350.82785034,349.17031860,2,34504234,1487057269
18.442118,0.03051758,0.02288818,-0.03814697,-0.00024414,-0.02032471,1.02221680,54.28844452,350.82785034,349.17031860,2,34504268,1487057269
18.433132,0.02288818,0.03814697,-0.09155273,-0.00146484,-0.02294922,1.02209473,47.28348160,364.93148804,342.42306519,2,34504299,1487057269
18.445114,-0.01525879,0.02288818,0.00762939,-0.00079346,-0.02264404,1.01892090,47.28348160,364.93148804,342.42306519,2,34504330,1487057269
18.424147,-0.08392334,-0.01525879,0.00000000,-0.00018311,-0.02160645,1.01867676,47.28348160,364.93148804,342.42306519,2,34504359,1487057269
18.424147,-0.16021729,-0.02288818,0.08392334,-0.00146484,-0.02276611,1.02221680,47.28348160,364.93148804,342.42306519,2,34504388,1487057269
18.412167,-0.00762939,0.03814697,-0.02288818,0.00073242,-0.02130127,1.02191162,52.53720474,366.69445801,350.85714722,2,34504419,1487057269
18.442118,-0.09155273,-0.08392334,-0.03051758,0.00061035,-0.02178955,1.02209473,52.53720474,366.69445801,350.85714722,2,34504465,1487057269
18.445114,-0.09155273,0.05340576,-0.05340576,-0.00042725,-0.02130127,1.02233887,52.53720474,366.69445801,350.85714722,2,34504498,1487057269
18.442118,-0.05340576,0.01525879,-0.03051758,-0.00207520,-0.02069092,1.01934814,43.78100204,347.30194092,355.91757202,2,34504527,1487057269
18.436129,0.00762939,0.00000000,-0.05340576,-0.00152588,-0.02215576,1.01995850,43.78100204,347.30194092,355.91757202,2,34504557,1487057269
18.430138,-0.03051758,-0.01525879,0.02288818,-0.00170898,-0.02136230,1.02215576,43.78100204,347.30194092,355.91757202,2,34504586,1487057269
18.442118,-0.09155273,-0.03814697,-0.07629395,-0.00317383,-0.02001953,1.02307129,43.78100204,347.30194092,355.91757202,2,34504615,1487057269
18.424147,-0.06866455,0.02288818,0.00762939,-0.00073242,-0.02276611,1.01641846,43.78100204,347.30194092,355.91757202,2,34504644,1487057269
18.454100,-0.09155273,0.01525879,0.03814697,-0.00225830,-0.02075195,1.01751709,63.04464340,370.22036743,340.73626709,2,34504675,1487057269
18.460089,0.12207031,-0.00762939,-0.05340576,-0.00097656,-0.02166748,1.01940918,63.04464340,370.22036743,340.73626709,2,34504708,1487057269
18.436129,-0.00762939,-0.09918213,-0.06866455,-0.00213623,-0.02160645,1.01629639,63.04464340,370.22036743,340.73626709,2,34504739,1487057269
18.436129,-0.06103516,-0.06866455,-0.00762939,0.00048828,-0.01983643,1.02056885,63.04464340,370.22036743,340.73626709,2,34504768,1487057269
18.433132,-0.03814697,-0.01525879,0.03051758,-0.00079346,-0.01953125,1.02105713,56.03968430,366.69445801,347.48352051,2,34504797,1487057269
18.439123,-0.04577637,-0.06103516,-0.06103516,-0.00024414,-0.02172852,1.02172852,56.03968430,366.69445801,347.48352051,2,34504829,1487057269
18.424147,-0.02288818,0.01525879,-0.01525879,-0.00042725,-0.02136230,1.02197266,56.03968430,366.69445801,347.48352051,2,34504859,1487057269
18.448109,-0.04577637,-0.01525879,-0.01525879,-0.00280762,-0.02111816,1.02264404,56.03968430,366.69445801,347.48352051,2,34504895,1487057269
18.460089,0.04577637,-0.02288818,-0.03814697,-0.00115967,-0.02337646,1.02136230,54.28844452,343.77603149,345.79669189,2,34504927,1487057269
18.451103,-0.06103516,-0.06103516,-0.12207031,-0.00476074,-0.02099609,1.01916504,54.28844452,343.77603149,345.79669189,2,34504962,1487057269
18.454100,-0.04577637,-0.03051758,0.00000000,0.00054932,-0.02105713,1.02386475,54.28844452,343.77603149,345.79669189,2,34504991,1487057269
18.439123,-0.02288818,-0.06103516,0.00000000,0.00109863,-0.02124023,1.02178955,73.55208588,366.69445801,344.10989380,2,34505030,1487057270
18.433132,0.06866455,0.09918213,0.10681152,0.00000000,-0.02404785,1.02178955,73.55208588,366.69445801,344.10989380,2,34505085,1487057270
18.442118,-0.05340576,-0.02288818,-0.01525879,-0.00158691,-0.02087402,1.02093506,73.55208588,366.69445801,344.10989380,2,34505114,1487057270
18.427143,-0.10681152,-0.04577637,0.03051758,-0.00189209,-0.02191162,1.01989746,54.28844452,368.45739746,342.42306519,2,34505145,1487057270
18.445114,-0.03814697,-0.00762939,-0.01525879,-0.00158691,-0.02142334,1.02270508,54.28844452,368.45739746,342.42306519,2,34505176,1487057270
18.448109,-0.09918213,-0.00762939,0.00000000,-0.00122070,-0.02111816,1.01947021,54.28844452,368.45739746,342.42306519,2,34505205,1487057270
18.430138,0.00762939,-0.02288818,-0.07629395,-0.00018311,-0.02111816,1.01702881,54.28844452,368.45739746,342.42306519,2,34505235,1487057270
18.430138,0.00762939,0.01525879,-0.11444092,0.00048828,-0.02111816,1.02087402,54.28844452,368.45739746,342.42306519,2,34505264,1487057270
18.424147,-0.03814697,0.01525879,0.00762939,-0.00213623,-0.02233887,1.01916504,54.28844452,357.87966919,349.17031860,2,34505293,1487057270
18.442118,-0.05340576,-0.02288818,0.11444092,-0.00134277,-0.02111816,1.02105713,54.28844452,357.87966919,349.17031860,2,34505327,1487057270
18.445114,-0.02288818,-0.03814697,-0.09155273,-0.00109863,-0.02148438,1.02191162,54.28844452,357.87966919,349.17031860,2,34505358,1487057270
18.421152,-0.03814697,0.11444092,0.00000000,-0.00018311,-0.02014160,1.02307129,54.28844452,357.87966919,349.17031860,2,34505390,1487057270
18.427143,-0.12969971,-0.04577637,-0.09918213,-0.00207520,-0.01977539,1.01940918,52.53720474,359.64263916,344.10989380,2,34505428,1487057270
18.454100,-0.08392334,0.00762939,-0.09155273,-0.00134277,-0.02038574,1.02166748,52.53720474,359.64263916,344.10989380,2,34505464,1487057270
18.412167,-0.11444092,-0.06866455,0.01525879,-0.00091553,-0.02288818,1.01965332,52.53720474,359.64263916,344.10989380,2,34505496,1487057270
18.430138,-0.08392334,-0.06866455,-0.00762939,0.00006104,-0.02203369,1.02398682,47.28348160,361.40557861,359.29119873,2,34505528,1487057270
18.427143,-0.06103516,0.00000000,-0.04577637,-0.00054932,-0.02087402,1.01873779,47.28348160,361.40557861,359.29119873,2,34505559,1487057270
18.433132,-0.03814697,0.00000000,-0.05340576,-0.00317383,-0.01928711,1.01916504,47.28348160,361.40557861,359.29119873,2,34505588,1487057270
18.430138,0.03051758,0.03051758,-0.01525879,-0.00085449,-0.02038574,1.01940918,47.28348160,361.40557861,359.29119873,2,34505617,1487057270
18.418158,-0.08392334,0.09155273,-0.07629395,0.00036621,-0.02008057,1.02191162,54.28844452,354.35375977,345.79669189,2,34505647,1487057270
18.433132,-0.11444092,-0.03814697,-0.07629395,0.00000000,-0.01953125,1.01910400,54.28844452,354.35375977,345.79669189,2,34505679,1487057270
18.412167,-0.06866455,0.01525879,-0.05340576,-0.00152588,-0.02099609,1.02239990,54.28844452,354.35375977,345.79669189,2,34505708,1487057270
18.430138,0.00000000,-0.03814697,-0.03051758,-0.00012207,-0.02148438,1.01788330,54.28844452,354.35375977,345.79669189,2,34505737,1487057270
18.433132,-0.06866455,-0.07629395,0.00000000,-0.00250244,-0.02081299,1.02154541,54.28844452,354.35375977,345.79669189,2,34505766,1487057270
18.463085,-0.09155273,-0.10681152,-0.03814697,0.00012207,-0.02056885,1.02075195,59.54216385,356.11672974,340.73626709,2,34505796,1487057270
18.430138,-0.08392334,-0.03814697,-0.03051758,-0.00091553,-0.02154541,1.01959229,59.54216385,356.11672974,340.73626709,2,34505829,1487057270
18.424147,0.06103516,0.01525879,0.03814697,-0.00134277,-0.02227783,1.02258301,59.54216385,356.11672974,340.73626709,2,34505861,1487057270
18.445114,-0.07629395,-0.03051758,0.06866455,-0.00201416,-0.02215576,1.02062988,59.54216385,356.11672974,340.73626709,2,34505890,1487057270
18.427143,-0.14495850,0.05340576,-0.02288818,-0.00006104,-0.02032471,1.02325439,38.52728271,356.11672974,337.36264038,2,34505919,1487057270
18.436129,-0.02288818,0.06103516,0.03814697,-0.00030518,-0.02166748,1.01751709,38.52728271,356.11672974,337.36264038,2,34505948,1487057270
18.433132,-0.09918213,-0.01525879,-0.04577637,-0.00238037,-0.02178955,1.02069092,38.52728271,356.11672974,337.36264038,2,34505977,1487057270
18.421152,-0.12207031,-0.06866455,-0.01525879,-0.00097656,-0.01989746,1.02154541,38.52728271,356.11672974,337.36264038,2,34506006,1487057270
18.430138,0.03051758,-0.02288818,-0.00762939,-0.00170898,-0.01977539,1.02270508,56.03968430,356.11672974,350.85714722,2,34506040,1487057271
18.442118,-0.12207031,0.02288818,-0.01525879,-0.00048828,-0.02148438,1.02172852,56.03968430,356.11672974,350.85714722,2,34506074,1487057271
18.448109,-0.13732910,-0.01525879,-0.05340576,-0.00164795,-0.02246094,1.02001953,56.03968430,356.11672974,350.85714722,2,34506103,1487057271
18.439123,-0.06866455,0.04577637,-0.00762939,-0.00170898,-0.02276611,1.02026367,56.03968430,356.11672974,350.85714722,2,34506136,1487057271
18.457094,-0.11444092,-0.00762939,-0.03814697,-0.00067139,-0.01928711,1.01892090,59.54216385,352.59082031,344.10989380,2,34506165,1487057271
18.445114,0.01525879,-0.01525879,-0.06866455,-0.00048828,-0.02282715,1.02319336,59.54216385,352.59082031,344.10989380,2,34506197,1487057271
18.433132,-0.00762939,-0.00762939,0.03051758,0.00109863,-0.02209473,1.02325439,59.54216385,352.59082031,344.10989380,2,34506250,1487057271
18.445114,0.04577637,0.02288818,-0.04577637,-0.00054932,-0.02282715,1.02239990,61.29340363,350.82785034,349.17031860,2,34506279,1487057271
18.445114,-0.08392334,0.07629395,-0.01525879,0.00000000,-0.02111816,1.01861572,61.29340363,350.82785034,349.17031860,2,34506309,1487057271
18.427143,-0.11444092,-0.02288818,0.03051758,-0.00274658,-0.02062988,1.02148438,61.29340363,350.82785034,349.17031860,2,34506342,1487057271
18.442118,-0.09155273,-0.03051758,-0.07629395,-0.00195312,-0.02087402,1.01965332,61.29340363,350.82785034,349.17031860,2,34506371,1487057271
18.430138,-0.10681152,-0.05340576,-0.01525879,-0.00134277,-0.01965332,1.01837158,56.03968430,342.01309204,340.73626709,2,34506400,1487057271
18.451103,0.00000000,-0.01525879,-0.08392334,-0.00152588,-0.02252197,1.01831055,56.03968430,342.01309204,340.73626709,2,34506430,1487057271
18.445114,0.00000000,0.00000000,-0.03814697,0.00048828,-0.02142334,1.02056885,56.03968430,342.01309204,340.73626709,2,34506460,1487057271
18.439123,-0.02288818,-0.10681152,-0.00762939,-0.00164795,-0.02258301,1.01556396,56.03968430,342.01309204,340.73626709,2,34506489,1487057271
